comment,key,en,zh-Hans,zh-Hant,ja,ko
"The language's name in itself.
Used in option menu.",language_name,English,简体中文,繁體中文,日本語,한국어
"The list of localizer names, seperated by commas.
Used in information menu.",localizer_names,N/A,DJ Hitori,Kento,"BrainInAVet, Sinby","Dino.B, Sinby, BrainInAVet, namusang"
,,,,,,
`===== Main Menu =====,,,,,,
,,,,,,
,resource_loader_loading_skins,Loading skins... ({0} / {1}),正在读取皮肤…… ({0} / {1}),正在載入造型…… ({0} / {1}),スキンをロード中… ({0} / {1}),스킨 로드 중... ({0} / {1})
,resource_loader_loading_track_list,Loading track list... ({0} / {1}),正在读取曲目列表…… ({0} / {1}),正在載入歌曲清單…… ({0} / {1}),トラックをロード中… ({0} / {1}),음악 로드 중... ({0} / {1})
,resource_loader_loading_setlist_list,Loading setlists... ({0} / {1}),正在读取组曲列表…… ({0} / {1}),正在載入組曲清單…… ({0} / {1}),セットリストをロード中… ({0} / {1}),디스크셋 로드 중... ({0} / {1})
,resource_loader_loading_theme,Loading theme... ({0} / {1}),正在读取主题…… ({0} / {1}),正在載入主題…… ({0} / {1}),テーマをロード中… ({0} / {1}),테마 로드 중... ({0} / {1})
,boot_screen_revert_default_theme_label,Revert to default theme ({0}),复原至默认主题 ({0}),還原至預設主題 ({0}),デフォルトにします… ({0}),기본값으로 되돌리는 중... ({0})
,boot_screen_revert_default_theme_button,REVERT,复原,還原,デフォルトにする,기본값으로 복원
,resource_loader_skin_error_format,"An error occurred when loading skins:

{0}

TECHMANIA will now load the default skins.","读取皮肤时发生错误：

{0}

TECHMANIA将读取默认皮肤。","載入造型時發生錯誤：

{0}

TECHMANIA 將載入預設造型。","下のスキンの読み込み中にエラーが発生しました。

{0}

TECHMANIAのデフォルトスキンを使用します。","아래 스킨을 불러오는 중 오류가 발생했습니다.

{0}

TECHMANIA 기본 스킨을 사용합니다."
,resource_loader_cannot_load_default_skin,"TECHMANIA cannot load the default skins, and therefore is unable to launch. You may need to reinstall TECHMANIA.",TECHMANIA无法读取默认皮肤，因而无法启动。您可能需要重新安装TECHMANIA。,TECHMANIA 無法載入預設造型，因此無法啟動。您可能需要重新安裝 TECHMANIA。,デフォルトスキンの読み込み失敗のため、TECHMANIAを起動できません。ゲームを再インストールしてください。,기본 스킨을 불러오지 못하여 TECHMANIA를 실행할 수 없습니다. 프로그램을 재설치해 보십시오.
,resource_loader_theme_error_format,"An error occurred when loading the theme:

{0}

TECHMANIA will now load the default theme.","读取主题时发生错误：

{0}

TECHMANIA将读取默认主题。","載入主題時發生錯誤：

{0}

TECHMANIA 將載入預設主題。","下のテーマの読み込み中にエラーが発生しました。

{0}

TECHMANIAのデフォルトテーマを使用します。","아래 테마를 로드하는 중 오류가 발생했습니다.

{0}

TECHMANIA 기본 테마를 사용합니다."
,resource_loader_cannot_load_default_theme,"TECHMANIA cannot load the default theme, and therefore is unable to launch. You may need to reinstall TECHMANIA.",TECHMANIA无法读取默认主题，因而无法启动。您可能需要重新安装TECHMANIA。,TECHMANIA 無法載入預設主題，因此無法啟動。您可能需要重新安裝 TECHMANIA。,デフォルトテーマの読み込み失敗のため、TECHMANIA を起動できません。ゲームを再インストールしてください。,기본 테마를 불러오지 못하여 TECHMANIA를 실행할 수 없습니다. 프로그램을 재설치해 보십시오.
,,,,,,
,theme_error_critical_file_missing,The theme you are using is missing the following essential file and cannot load.,当前使用的主题缺少以下文件，因而无法启动。,您正在使用的主題缺少以下基本檔案，無法載入。,"使用中のテーマは次の重要ファイルが存在しないため、読み込めませんでした。
","사용 중인 테마를 불러올 수 없습니다. 아래 파일이 누락되었습니다.

{0}"
,theme_error_api_not_supported,The theme you are using is not compatible with your TECHMANIA version.,当前使用的主题与TECHMANIA版本不兼容。,您使用的主題與您的 TECHMANIA 版本不相容,使用中のテーマは現在のTECHMANIAバージョンをサポートしません。,사용 중인 테마가 현재 TECHMANIA 버전과 호환되지 않습니다.
