comment,key,en,zh-Hans,zh-Hant,ja,ko
"The language's name in itself.
Used in option menu.",language_name,English,简体中文,繁體中文,日本語,한국어
"The list of localizer names, seperated by commas.
Used in information menu.",localizer_names,N/A,DJ Hitori,Kento,"BrainInAVet, Sinby","Dino.B, Sinby, BrainInAVet, namusang"
,,,,,,
,alert_ok,OK,确定,確定,OK,확인
,,,,,,
,control_scheme_touch,Touch,触屏,觸控,タッチ,터치
,control_scheme_keys,Keys,键盘,鍵盤,キーボード,키보드
,control_scheme_km,KM,键鼠,鍵鼠,キーボード・マウス,키보드/마우스
,,,,,,
"Shown when the score is 300,000.",performance_medal_absolute_perfect,ABSOLUTE PERFECT,绝对完美,ABSOLUTE PERFECT,ABSOLUTE PERFECT,ABSOLUTE PERFECT
,performance_medal_perfect_play,PERFECT PLAY,完美,PERFECT PLAY,PERFECT PLAY,PERFECT PLAY
,performance_medal_all_combo,ALL COMBO,全连,ALL COMBO,ALL COMBO,ALL COMBO
,,,,,,
,ruleset_standard,Standard,标准,標準,スタンダード,표준
,ruleset_legacy,Legacy,经典,經典,レガシー,레거시
,ruleset_custom,Custom,自定义,自訂,カスタム,사용자 지정
,,,,,,
,discord_state_main_menu,Main Menu,主菜单,主選單,メインメニュー,메인 메뉴
,discord_state_options,Options,设置,設定,設定,설정 변경 중
,discord_state_information,Information,须知,須知,情報,정보
,discord_state_selecting_track,Selecting Track,正在选择曲目,選擇歌曲,トラック選択,음악 선택 중
,discord_state_selecting_pattern,Selecting Pattern,正在选择谱面,選擇譜面,パターン選択,패턴 선택 중
{0} is number of lanes; {1} is control scheme; {2} is level.,discord_state_playing_pattern,{0}L {1} - {2},{0}轨 {1} - {2},{0}軌 {1} - {2},{0}ライン {1} - {2},{1} 모드 / {0}라인 {2}
{0} is setlist title; {1} is stage number (1-4),discord_state_playing_setlist,{0} (stage {1}),{0}（第{1}曲）,{0}（第{1}首）,{0}（ステージ{1}）,{0} (스테이지 {1})
{0} is pattern level; {1} is track title,discord_state_playing_pattern_in_setlist,({0}) {1},({0}) {1},({0}) {1},({0}) {1},({0}) {1}
,discord_state_selecting_setlist,Selecting Setlist,正在选择组曲,正在選擇組曲,セットリスト選択,디스크셋 선택 중
,discord_state_setting_up_setlist,Setting Up Setlist,正在配置组曲,正在設定組曲,セットリスト構成,디스크셋 구성 중
,,,,,,
,#main-menu #welcome-mat-text,Click / Touch / Press any key,轻触屏幕 / 鼠标 / 任意键,觸碰螢幕 / 點擊滑鼠 / 按下任意鍵,Click / Touch / Press any key,클릭 / 터치 / 아무 키나 누르십시오.
,#main-menu #start-button #label,START,开始,開始,スタート,게임 시작
,#main-menu #setlists-button #label,SETLISTS,组曲,組曲,セットリスト,디스크셋
,#main-menu #editor-button #label,EDITOR,编辑,編輯,エディタ,편집기
,#main-menu #editor-sub-buttons #edit-tracks-button,TRACKS,单曲,單曲,トラック,음악
,#main-menu #editor-sub-buttons #edit-setlists-button,SETLISTS,组曲,組曲,セットリスト,디스크셋
,#main-menu #options-button #label,OPTIONS,设置,設定,設定,설정
,#main-menu #information-button #label,INFORMATION,须知,須知,情報,안내
,#main-menu #quit-button #label,QUIT,退出,離開,終了,종료
,,,,,,
,#select-track-panel #top-bar #title,Select Track,选择曲目,選擇歌曲,トラック選択,Select Track
,eyecatch_no_image_text,No image,没有预览,沒有預覽,イメージなし,No image
"{0} is the number of tracks hidden;
{1} is the search term.",select_track_some_tracks_hidden_text,"{0} track(s) are hidden as they don't match the search term ""{1}"".",{0}首曲目不包含搜索关键字“{1}”，因而没有显示。,隱藏了 {0} 首不包含搜尋關鍵字 “{1}” 的歌曲。,"キーワード""{1}""を含まないトラック{0}個が表示されていません。","검색어 ""{1}""을 포함하지 않는 {0}곡이 표시되지 않았습니다."
,select_track_no_track_text,TECHMANIA cannot find any track in this folder.,TECHMANIA没有在此文件夹内找到任何曲目。,找不到任何歌曲。,トラックがありません。,음악이 없습니다.
"When there's an error with a track,
the select track panel will create an ""error card"" for it,
with the title and artist as listed here.",select_track_error_card_title,Could not load track,无法读取曲目,無法載入歌曲,トラックを読み込めません。,음악을 불러올 수 없습니다.
