comment,key,en,zh-Hans,zh-Hant,ja,ko
"The language's name in itself.
Used in option menu.",language_name,English,简体中文,繁體中文,日本語,한국어
"The list of localizer names, seperated by commas.
Used in information menu.",localizer_names,N/A,DJ Hitori,Kento,"BrainInAVet, Sinby","Dino.B, Sinby, BrainInAVet, namusang"
,,,,,,
,#main-menu #welcome-mat-text,Click / Touch / Press any key,轻触屏幕 / 鼠标 / 任意键,觸碰螢幕 / 點擊滑鼠 / 按下任意鍵,Click / Touch / Press any key,클릭 / 터치 / 아무 키나 누르십시오.
,#main-menu #start-button,START,开始,開始,スタート,게임 시작
,#main-menu #editor-button,EDITOR,编辑,編輯,エディタ,편집기
,#main-menu #options-button,OPTIONS,设置,設定,オプション,설정
,#main-menu #information-button,INFORMATION,须知,須知,情報,안내
,#main-menu #quit-button,QUIT,退出,離開,終了,종료
,,,,,,
,#select-track-panel #top-bar #title,Select Track,选择曲目,選擇歌曲,トラック選択,Select Track
,eyecatch_no_image_text,No image,没有预览,沒有預覽,イメージなし,No image
,,,,,,
,#options-panel #title,Options,设置,設定,オプション,설정
,#options-panel #graphics-header,Graphics,图像,影像,グラフィック,그래픽
,#options-panel #resolution #label,Resolution,分辨率,解析度,解像度,화면 해상도
,#options-panel #fullscreen-mode #label,Fullscreen mode,全屏模式,顯示模式,画面モード,출력 방식
,fullscreen_mode_exclusive_fullscreen,Exclusive fullscreen,独占全屏,全螢幕,フルスクリーン,전체화면
,fullscreen_mode_fullscreen_window,Borderless window,全屏窗口,無邊框視窗,ボーダーレス,윈도우(전체화면)
,fullscreen_mode_maximized_window,Maximized window,最大化窗口,最大化視窗,ウィンドウ（最大）,윈도우(최대화)
,fullscreen_mode_windowed,Windowed,窗口化,視窗化,ウィンドウ,윈도우
,#options-panel #vsync #label,VSync,垂直同步,垂直同步,VSync,수직 동기화
,#options-panel #audio-header,Audio,音频,音效,オーディオ,오디오
,#options-panel #master #label,Master,主音量,主音量,マスター,마스터 볼륨
,#options-panel #music #label,Music,音乐音量,音樂音量,音楽,반주음
,#options-panel #keysounds #label,Keysounds,按键音音量,按鍵音音量,ノート音,연주음
,#options-panel #sound-effects #label,Sound effects,音效音量,音效音量,効果音,효과음
,#options-panel #audio-buffer-size #label,Audio buffer size,音频缓冲长度,音效緩衝長度,オーディオバッファ,오디오 버퍼 크기
,#options-panel #audio-buffer-size-explanation #label,"Lower value reduces audio latency,
but may cause audio issues such as stuttering.","数值越小，音频延迟越低，
但也越可能出现卡壳等问题。","數值越小，音效延遲越低，
但也越可能出現問題。","バッファを減らせば遅延が小さくなりますが、
ノイズ、音ズレなどが発生することがあります。","버퍼 크기가 작을수록 오디오 지연이 감소하지만,
노이즈, 싱크 밀림 등의 문제가 발생할 수 있습니다."
,#options-panel #appearance-header,Appearance,界面,介面,表示,화면
,#options-panel #language #label,Language,语言,語言,言語,언어
,#options-panel #skins #label,Skins,皮肤,造型,スキン,스킨
,#options-panel #skins #button,SELECT,选择,選擇,選択,선택
,#options-panel #show-loading-bar #label,Show loading bar,显示读取进度,顯示讀取進度,読み込みのプログレスバー表示,로딩 상태 표시
,#options-panel #show-fps #label,Show FPS,显示帧数,顯示幀數,フレームレート表示,FPS 표시
,#options-panel #show-judgement-tally #label,Show judgement tally,显示判定统计,顯示判定統計,リアルタイム判定表示,실시간 판정 보기
,#options-panel #show-lane-dividers #label,Show lane dividers,显示轨道分界线,顯示軌道分界線,レーン区切り線を表示,트랙 구분선 표시
,#options-panel #beat-markers #label,Beat markers,节拍辅助线,節拍輔助線,ビート区切り線,박자 구분선
,beat_markers_hidden,Hidden,隐藏,隱藏,隠す,숨김
,beat_markers_show_beat_markers,Show beat markers,显示节拍辅助线,顯示節拍輔助線,1泊毎に表示,1박마다 표시
,beat_markers_show_half_beat_markers,Show half beat markers,显示半节拍辅助线,顯示半拍輔助線,半拍毎に表示,반 박마다 표시
,#options-panel #background-scaling #label,Background scaling,背景缩放方式,背景縮放方式,BGAのスケーリング,BGA 맞춤
,bg_scaling_fill_entire_screen,Fill entire screen,覆盖整个屏幕,覆蓋整個螢幕,画面に合わせる,전체 화면
